Abertay University
Aberystwyth University
Anglia Ruskin University
Aston University
Bangor University
Bath Spa University
Birmingham City University
Bournemouth University
Brunel University London
Canterbury Christ Church University
Cardiff Metropolitan University
Cardiff University
"City, University of London"
Coventry University
Cranfield University
De Montfort University
Durham University
Edge Hill University
Edinburgh Napier University
Falmouth University
Glasgow Caledonian University
"Goldsmiths, University of London"
Harper Adams University
Heriot-Watt University
Imperial College London
Keele University
Kingston University
Lancaster University
Leeds Arts University
Leeds Beckett University
Leeds Trinity University
Liverpool Hope University
Liverpool John Moores University
London Metropolitan University
London School of Economics and Political Science (LSE)
London South Bank University
Loughborough University
Manchester Metropolitan University
Middlesex University
Newcastle University
Northumbria University
Norwich University of the Arts
Nottingham Trent University
Oxford Brookes University
Queen Margaret University
Queen Mary University of London
Queen's University Belfast
Regent's University London
Robert Gordon University
Royal Agricultural University
"Royal Holloway, University of London"
Sheffield Hallam University
Solent University
"St George's, University of London"
Staffordshire University
Swansea University
Teesside University
The Open University
Ulster University
University of Bath
University of Bedfordshire
University of Birmingham
University of Bolton
University of Bradford
University of Brighton
University of Bristol
University of Buckingham
University of Cambridge
University of Central Lancashire
University of Chester
University of Chichester
University of Derby
University of Dundee
University of East Anglia
University of East London
University of Edinburgh
University of Essex
University of Exeter
University of Glasgow
University of Gloucestershire
University of Greenwich
University of Hertfordshire
University of Huddersfield
University of Hull
University of Kent
University of Law
University of Leeds
University of Leicester
University of Lincoln
University of Liverpool
University of London
University of Northampton
University of Nottingham
University of Oxford
University of Plymouth
University of Portsmouth
University of Reading
University of Roehampton
University of Salford
University of Sheffield
University of South Wales
University of Southampton
University of St Andrews
University of Stirling
University of Strathclyde
University of Sunderland
University of Surrey
University of Sussex
University of Warwick
University of West London
University of Westminster
University of Winchester
University of Wolverhampton
University of Worcester
University of York
University of the Arts London
University of the Highlands and Islands
University of the West of England (UWE Bristol)
University of the West of Scotland
Wrexham Glyndŵr University
York St John University
